No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Picture_URL,sus,amogus
236,Tyrogue,Tyrogue,2,0.7m,21.0kg,Fighting,,Guts,Steadfast,Vital Spirit,Purple,100,0,0,25,Undiscovered,,75,42,1000000,Ordinary,35,35,35,35,35,35,210,https://assets.pokemon.com/assets/cms2/img/pokedex/full/236.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
237,Hitmontop,Hitmontop,2,1.4m,48.0kg,Fighting,,Intimidate,Technician,Steadfast,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,50,95,95,35,110,70,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/237.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
238,Smoochum,Smoochum,2,0.4m,6.0kg,Ice,Psychic,Oblivious,Forewarn,Hydration,Pink,0,100,0,25,Undiscovered,,45,61,1000000,Ordinary,45,30,15,85,65,65,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/238.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
239,Elekid,Elekid,2,0.6m,23.5kg,Electric,,Static,,Vital Spirit,Yellow,75,25,0,25,Undiscovered,,45,72,1000000,Ordinary,45,63,37,65,55,95,360,https://assets.pokemon.com/assets/cms2/img/pokedex/full/239.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
240,Magby,Magby,2,0.7m,21.4kg,Fire,,Flame Body,,Vital Spirit,Red,75,25,0,25,Undiscovered,,45,73,1000000,Ordinary,45,75,37,70,55,83,365,https://assets.pokemon.com/assets/cms2/img/pokedex/full/240.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
241,Miltank,Miltank,2,1.2m,75.5kg,Normal,,Thick Fat,Scrappy,Sap Sipper,Pink,0,100,0,20,Ground,,45,172,1250000,Ordinary,95,80,105,40,70,100,490,https://assets.pokemon.com/assets/cms2/img/pokedex/full/241.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
242,Blissey,Blissey,2,1.5m,46.8kg,Normal,,Natural Cure,Serene Grace,Healer,Pink,0,100,0,40,Fairy,,30,635,800000,Ordinary,255,10,10,75,135,55,540,https://assets.pokemon.com/assets/cms2/img/pokedex/full/242.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
243,Raikou,Raikou,2,1.9m,178.0kg,Electric,,Pressure,,Inner Focus,Yellow,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,90,85,75,115,100,115,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/243.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
244,Entei,Entei,2,2.1m,198.0kg,Fire,,Pressure,,Inner Focus,Brown,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,115,115,85,90,75,100,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/244.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
245,Suicune,Suicune,2,2.0m,187.0kg,Water,,Pressure,,Inner Focus,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,100,75,115,90,115,85,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/245.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
246,Larvitar,Larvitar,2,0.6m,72.0kg,Rock,Ground,Guts,,Sand Veil,Green,50,50,0,40,Monster,,45,60,1250000,Ordinary,50,64,50,45,50,41,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/246.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
247,Pupitar,Pupitar,2,1.2m,152.0kg,Rock,Ground,Shed Skin,,,Gray,50,50,0,40,Monster,,45,144,1250000,Ordinary,70,84,70,65,70,51,410,https://assets.pokemon.com/assets/cms2/img/pokedex/full/247.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
248,Tyranitar,Tyranitar,2,2.0m,202.0kg,Rock,Dark,Sand Stream,,Unnerve,Green,50,50,0,40,Monster,,45,300,1250000,Ordinary,100,134,110,95,100,61,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
248,Tyranitar,Mega Tyranitar,2,2.5m,255.0kg,Rock,Dark,Sand Stream,,,Green,50,50,0,40,Monster,,45,315,1250000,Ordinary,100,164,150,95,120,71,700,https://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
249,Lugia,Lugia,2,5.2m,216.0kg,Psychic,Flying,Pressure,,Multiscale,White,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,106,90,130,90,154,110,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/249.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
250,Ho-Oh,Ho-Oh,2,3.8m,199.0kg,Fire,Flying,Pressure,,Regenerator,Red,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,106,130,90,110,154,90,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/250.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
251,Celebi,Celebi,2,0.6m,5.0kg,Psychic,Grass,Natural Cure,,,Green,0,0,100,120,Undiscovered,,45,300,1059860,Mythical,100,100,100,100,100,100,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/251.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
252,Treecko,Treecko,3,0.5m,5.0kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,40,45,35,65,55,70,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/252.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
253,Grovyle,Grovyle,3,0.9m,21.6kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,50,65,45,85,65,95,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/253.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
254,Sceptile,Sceptile,3,1.7m,52.2kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,265,1059860,Ordinary,70,85,65,105,85,120,530,https://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
254,Sceptile,Mega Sceptile,3,1.9m,55.2kg,Grass,Dragon,Lightning Rod,,,Green,87.5,12.5,0,20,Monster,Dragon,45,284,1059860,Ordinary,70,110,75,145,85,145,630,https://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
255,Torchic,Torchic,3,0.4m,2.5kg,Fire,,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,45,60,40,70,50,45,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/255.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
256,Combusken,Combusken,3,0.9m,19.5kg,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,142,1059860,Ordinary,60,85,60,85,60,55,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/256.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
257,Blaziken,Blaziken,3,1.9m,52.0kg,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,265,1059860,Ordinary,80,120,70,110,70,80,530,https://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
257,Blaziken,Mega Blaziken,3,1.9m,52.0kg,Fire,Fighting,Speed Boost,,,Red,87.5,12.5,0,20,Ground,,45,284,1059860,Ordinary,80,160,80,130,80,100,630,https://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
258,Mudkip,Mudkip,3,0.4m,7.6kg,Water,,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,62,1059860,Ordinary,50,70,50,50,50,40,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/258.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
259,Marshtomp,Marshtomp,3,0.7m,28.0kg,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,70,85,70,60,70,50,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/259.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
260,Swampert,Swampert,3,1.5m,81.9kg,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,268,1059860,Ordinary,100,110,90,85,90,60,535,https://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
260,Swampert,Mega Swampert,3,1.9m,102.0kg,Water,Ground,Swift Swim,,,Blue,87.5,12.5,0,20,Monster,Water1,45,286,1059860,Ordinary,100,150,110,95,110,70,635,https://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
261,Poochyena,Poochyena,3,0.5m,13.6kg,Dark,,Run Away,Quick Feet,Rattled,Gray,50,50,0,15,Ground,,255,56,1000000,Ordinary,35,55,35,30,30,35,220,https://assets.pokemon.com/assets/cms2/img/pokedex/full/261.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
262,Mightyena,Mightyena,3,1.0m,37.0kg,Dark,,Intimidate,Quick Feet,Moxie,Gray,50,50,0,15,Ground,,127,147,1000000,Ordinary,70,90,70,60,60,70,420,https://assets.pokemon.com/assets/cms2/img/pokedex/full/262.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
263,Zigzagoon,Zigzagoon,3,0.4m,17.5kg,Normal,,Pickup,Gluttony,Quick Feet,Brown,50,50,0,15,Ground,,255,56,1000000,Ordinary,38,30,41,30,41,60,240,https://assets.pokemon.com/assets/cms2/img/pokedex/full/263.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
263,Zigzagoon,Galarian Zigzagoon,3,0.4m,17.5kg,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,255,56,1000000,Ordinary,38,30,41,30,41,60,240,https://assets.pokemon.com/assets/cms2/img/pokedex/full/263.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
264,Linoone,Linoone,3,0.5m,32.5kg,Normal,,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,78,70,61,50,61,100,420,https://assets.pokemon.com/assets/cms2/img/pokedex/full/264.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
264,Linoone,Galarian Linoone,3,0.5m,32.5kg,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,78,70,61,50,61,100,420,https://assets.pokemon.com/assets/cms2/img/pokedex/full/264.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
265,Wurmple,Wurmple,3,0.3m,3.6kg,Bug,,Shield Dust,,Run Away,Red,50,50,0,15,Bug,,255,56,1000000,Ordinary,45,45,35,20,30,20,195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/265.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
266,Silcoon,Silcoon,3,0.6m,10.0kg,Bug,,Shed Skin,,,White,50,50,0,15,Bug,,120,72,1000000,Ordinary,50,35,55,25,25,15,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/266.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
267,Beautifly,Beautifly,3,1.0m,28.4kg,Bug,Flying,Swarm,,Rivalry,Yellow,50,50,0,15,Bug,,45,178,1000000,Ordinary,60,70,50,100,50,65,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/267.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
268,Cascoon,Cascoon,3,0.7m,11.5kg,Bug,,Shed Skin,,,Purple,50,50,0,15,Bug,,120,72,1000000,Ordinary,50,35,55,25,25,15,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/268.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
269,Dustox,Dustox,3,1.2m,31.6kg,Bug,Poison,Shield Dust,,Compound Eyes,Green,50,50,0,15,Bug,,45,173,1000000,Ordinary,60,50,70,50,90,65,385,https://assets.pokemon.com/assets/cms2/img/pokedex/full/269.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
270,Lotad,Lotad,3,0.5m,2.6kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,255,44,1059860,Ordinary,40,30,30,40,50,30,220,https://assets.pokemon.com/assets/cms2/img/pokedex/full/270.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
271,Lombre,Lombre,3,1.2m,32.5kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,120,119,1059860,Ordinary,60,50,50,60,70,50,340,https://assets.pokemon.com/assets/cms2/img/pokedex/full/271.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
272,Ludicolo,Ludicolo,3,1.5m,55.0kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,45,240,1059860,Ordinary,80,70,70,90,100,70,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/272.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
273,Seedot,Seedot,3,0.5m,4.0kg,Grass,,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,255,44,1059860,Ordinary,40,40,50,30,30,30,220,https://assets.pokemon.com/assets/cms2/img/pokedex/full/273.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
274,Nuzleaf,Nuzleaf,3,1.0m,28.0kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,120,119,1059860,Ordinary,70,70,40,60,40,60,340,https://assets.pokemon.com/assets/cms2/img/pokedex/full/274.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
275,Shiftry,Shiftry,3,1.3m,59.6kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,45,240,1059860,Ordinary,90,100,60,90,60,80,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/275.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
276,Taillow,Taillow,3,0.3m,2.3kg,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,200,54,1059860,Ordinary,40,55,30,30,30,85,270,https://assets.pokemon.com/assets/cms2/img/pokedex/full/276.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
277,Swellow,Swellow,3,0.7m,19.8kg,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,45,159,1059860,Ordinary,60,85,60,75,50,125,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/277.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
278,Wingull,Wingull,3,0.6m,9.5kg,Water,Flying,Keen Eye,Hydration,Rain Dish,White,50,50,0,20,Water1,Flying,190,54,1000000,Ordinary,40,30,30,55,30,85,270,https://assets.pokemon.com/assets/cms2/img/pokedex/full/278.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
279,Pelipper,Pelipper,3,1.2m,28.0kg,Water,Flying,Keen Eye,Drizzle,Rain Dish,Yellow,50,50,0,20,Water1,Flying,45,154,1000000,Ordinary,60,50,100,95,70,65,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/279.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
280,Ralts,Ralts,3,0.4m,6.6kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,235,40,1250000,Ordinary,28,25,25,45,35,40,198,https://assets.pokemon.com/assets/cms2/img/pokedex/full/280.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
281,Kirlia,Kirlia,3,0.8m,20.2kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,120,97,1250000,Ordinary,38,35,35,65,55,50,278,https://assets.pokemon.com/assets/cms2/img/pokedex/full/281.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
282,Gardevoir,Gardevoir,3,1.6m,48.4kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,45,259,1250000,Ordinary,68,65,65,125,115,80,518,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
282,Gardevoir,Mega Gardevoir,3,1.6m,48.4kg,Psychic,Fairy,Pixilate,,,White,50,50,0,20,Amorphous,,45,278,1250000,Ordinary,68,85,65,165,135,100,618,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
283,Surskit,Surskit,3,0.5m,1.7kg,Bug,Water,Swift Swim,,Rain Dish,Blue,50,50,0,15,Water1,Bug,200,54,1000000,Ordinary,40,30,32,50,52,65,269,https://assets.pokemon.com/assets/cms2/img/pokedex/full/283.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
284,Masquerain,Masquerain,3,0.8m,3.6kg,Bug,Flying,Intimidate,,Unnerve,Blue,50,50,0,15,Water1,Bug,75,159,1000000,Ordinary,70,60,62,100,82,80,454,https://assets.pokemon.com/assets/cms2/img/pokedex/full/284.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
285,Shroomish,Shroomish,3,0.4m,4.5kg,Grass,,Effect Spore,Poison Heal,Quick Feet,Brown,50,50,0,15,Fairy,Grass,255,59,1640000,Ordinary,60,40,60,40,60,35,295,https://assets.pokemon.com/assets/cms2/img/pokedex/full/285.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
286,Breloom,Breloom,3,1.2m,39.2kg,Grass,Fighting,Effect Spore,Poison Heal,Technician,Green,50,50,0,15,Fairy,Grass,90,161,1640000,Ordinary,60,130,80,60,60,70,460,https://assets.pokemon.com/assets/cms2/img/pokedex/full/286.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
287,Slakoth,Slakoth,3,0.8m,24.0kg,Normal,,Truant,,,Brown,50,50,0,15,Ground,,255,56,1250000,Ordinary,60,60,60,35,35,30,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/287.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
288,Vigoroth,Vigoroth,3,1.4m,46.5kg,Normal,,Vital Spirit,,,White,50,50,0,15,Ground,,120,154,1250000,Ordinary,80,80,80,55,55,90,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/288.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
289,Slaking,Slaking,3,2.0m,130.5kg,Normal,,Truant,,,Brown,50,50,0,15,Ground,,45,285,1250000,Ordinary,150,160,100,95,65,100,670,https://assets.pokemon.com/assets/cms2/img/pokedex/full/289.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
290,Nincada,Nincada,3,0.5m,5.5kg,Bug,Ground,Compound Eyes,,Run Away,Gray,50,50,0,15,Bug,,255,53,600000,Ordinary,31,45,90,30,30,40,266,https://assets.pokemon.com/assets/cms2/img/pokedex/full/290.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
291,Ninjask,Ninjask,3,0.8m,12.0kg,Bug,Flying,Speed Boost,,Infiltrator,Yellow,50,50,0,15,Bug,,120,160,600000,Ordinary,61,90,45,50,50,160,456,https://assets.pokemon.com/assets/cms2/img/pokedex/full/291.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
292,Shedinja,Shedinja,3,0.8m,1.2kg,Bug,Ghost,Wonder Guard,,,Brown,0,0,100,15,Mineral,,45,83,600000,Ordinary,1,90,45,30,30,40,236,https://assets.pokemon.com/assets/cms2/img/pokedex/full/292.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
293,Whismur,Whismur,3,0.6m,16.3kg,Normal,,Soundproof,,Rattled,Pink,50,50,0,20,Monster,Ground,190,48,1059860,Ordinary,64,51,23,51,23,28,240,https://assets.pokemon.com/assets/cms2/img/pokedex/full/293.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
294,Loudred,Loudred,3,1.0m,40.5kg,Normal,,Soundproof,,Scrappy,Blue,50,50,0,20,Monster,Ground,120,126,1059860,Ordinary,84,71,43,71,43,48,360,https://assets.pokemon.com/assets/cms2/img/pokedex/full/294.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
295,Exploud,Exploud,3,1.5m,84.0kg,Normal,,Soundproof,,Scrappy,Blue,50,50,0,20,Monster,Ground,45,245,1059860,Ordinary,104,91,63,91,73,68,490,https://assets.pokemon.com/assets/cms2/img/pokedex/full/295.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
296,Makuhita,Makuhita,3,1.0m,86.4kg,Fighting,,Thick Fat,Guts,Sheer Force,Yellow,75,25,0,20,Human-Like,,180,47,1640000,Ordinary,72,60,30,20,30,25,237,https://assets.pokemon.com/assets/cms2/img/pokedex/full/296.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
297,Hariyama,Hariyama,3,2.3m,253.8kg,Fighting,,Thick Fat,Guts,Sheer Force,Brown,75,25,0,20,Human-Like,,200,166,1640000,Ordinary,144,120,60,40,60,50,474,https://assets.pokemon.com/assets/cms2/img/pokedex/full/297.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
298,Azurill,Azurill,3,0.2m,2.0kg,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Blue,25,75,0,10,Undiscovered,,150,38,800000,Ordinary,50,20,40,20,40,20,190,https://assets.pokemon.com/assets/cms2/img/pokedex/full/298.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
299,Nosepass,Nosepass,3,1.0m,97.0kg,Rock,,Sturdy,Magnet Pull,Sand Force,Gray,50,50,0,20,Mineral,,255,75,1000000,Ordinary,30,45,135,45,90,30,375,https://assets.pokemon.com/assets/cms2/img/pokedex/full/299.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
300,Skitty,Skitty,3,0.6m,11.0kg,Normal,,Cute Charm,Normalize,Wonder Skin,Pink,25,75,0,15,Ground,Fairy,255,52,800000,Ordinary,50,45,45,35,35,50,260,https://assets.pokemon.com/assets/cms2/img/pokedex/full/300.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
301,Delcatty,Delcatty,3,1.1m,32.6kg,Normal,,Cute Charm,Normalize,Wonder Skin,Purple,25,75,0,15,Ground,Fairy,60,140,800000,Ordinary,70,65,65,55,55,90,400,https://assets.pokemon.com/assets/cms2/img/pokedex/full/301.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
302,Sableye,Sableye,3,0.5m,11.0kg,Dark,Ghost,Keen Eye,Stall,Prankster,Purple,50,50,0,25,Human-Like,,45,133,1059860,Ordinary,50,75,75,65,65,50,380,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
302,Sableye,Mega Sableye,3,0.5m,161.0kg,Dark,Ghost,Magic Bounce,,,Purple,50,50,0,25,Human-Like,,45,168,1059860,Ordinary,50,85,125,85,115,20,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
303,Mawile,Mawile,3,0.6m,11.5kg,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Black,50,50,0,20,Ground,Fairy,45,133,800000,Ordinary,50,85,85,55,55,50,380,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
303,Mawile,Mega Mawile,3,1.0m,23.5kg,Steel,Fairy,Huge Power,,,Black,50,50,0,20,Ground,Fairy,45,168,800000,Ordinary,50,105,125,55,95,50,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
304,Aron,Aron,3,0.4m,60.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,180,66,1250000,Ordinary,50,70,100,40,40,30,330,https://assets.pokemon.com/assets/cms2/img/pokedex/full/304.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
305,Lairon,Lairon,3,0.9m,120.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,90,151,1250000,Ordinary,60,90,140,50,50,40,430,https://assets.pokemon.com/assets/cms2/img/pokedex/full/305.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
306,Aggron,Aggron,3,2.1m,360.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,45,265,1250000,Ordinary,70,110,180,60,60,50,530,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
306,Aggron,Mega Aggron,3,2.2m,395.0kg,Steel,,Filter,,,Gray,50,50,0,35,Monster,,45,284,1250000,Ordinary,70,140,230,60,80,50,630,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
307,Meditite,Meditite,3,0.6m,11.2kg,Fighting,Psychic,Pure Power,,Telepathy,Blue,50,50,0,20,Human-Like,,180,56,1000000,Ordinary,30,40,55,40,55,60,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/307.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
308,Medicham,Medicham,3,1.3m,31.5kg,Fighting,Psychic,Pure Power,,Telepathy,Red,50,50,0,20,Human-Like,,90,144,1000000,Ordinary,60,60,75,60,75,80,410,https://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
308,Medicham,Mega Medicham,3,1.3m,31.5kg,Fighting,Psychic,Pure Power,,,Red,50,50,0,20,Human-Like,,90,179,1000000,Ordinary,60,100,85,80,85,100,510,https://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
309,Electrike,Electrike,3,0.6m,15.2kg,Electric,,Static,Lightning Rod,Minus,Green,50,50,0,20,Ground,,120,59,1250000,Ordinary,40,45,40,65,40,65,295,https://assets.pokemon.com/assets/cms2/img/pokedex/full/309.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
310,Manectric,Manectric,3,1.5m,40.2kg,Electric,,Static,Lightning Rod,Minus,Yellow,50,50,0,20,Ground,,45,166,1250000,Ordinary,70,75,60,105,60,105,475,https://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
310,Manectric,Mega Manectric,3,1.8m,44.0kg,Electric,,Intimidate,,,Yellow,50,50,0,20,Ground,,45,201,1250000,Ordinary,70,75,80,135,80,135,575,https://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
311,Plusle,Plusle,3,0.4m,4.2kg,Electric,,Plus,,Lightning Rod,Yellow,50,50,0,20,Fairy,,200,142,1000000,Ordinary,60,50,40,85,75,95,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/311.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
